fileExtracted,Color0,Color2,Color4,Color8,relevante,topic_covid,topic_econ,delta,omicron,alza_casos,baja_casos,R0,R0_2,R0_4,R0_8,lugar
1539_COVID+Sonora,2.0,2.0,1.0,1.0,7.0,0.10762288814872205,0.08860708923341547,4,0,7,7,7.0,14.0,14.0,8.400000000000002,Sonora
153_COVID+Baja+California+Sur,3.0,3.0,3.0,3.0,13.0,0.35569517101304615,0.10697203027950959,6,0,17,40,7.0,21.0,21.000000000000004,21.000000000000004,Baja_California_Sur
1540_COVID+Sonora,2.0,2.0,1.0,1.0,10.0,0.13513873852271524,0.08860708923341547,1,0,4,10,7.0,14.0,14.0,8.400000000000002,Sonora
1541_COVID+Sonora,2.0,2.0,3.0,3.0,13.0,0.13513873852271524,0.08860708923341547,5,0,13,12,7.0,14.0,14.0,19.6,Sonora
1542_COVID+Sonora,2.0,2.0,2.0,3.0,12.0,0.13513873852271524,0.10697203027950959,50,0,7,13,7.0,14.0,14.0,14.0,Sonora
1543_COVID+Sonora,2.0,2.0,2.0,3.0,6.0,0.0,0.09861283717349666,0,0,3,4,2.5,5.0,5.0,5.0,Sonora
1544_COVID+Sonora,2.0,1.0,2.0,2.0,8.0,0.0,0.16675646316711965,0,0,3,13,2.5,5.0,3.0000000000000004,4.75,Sonora
1545_COVID+Sonora,2.0,2.0,2.0,3.0,7.5,0.13513873852271524,0.0,6,25,10,9,10.0,20.0,20.0,20.0,Sonora
1546_COVID+Sonora,1.0,1.0,2.0,2.0,11.0,0.11917996170181146,0.08860708923341547,0,0,7,5,2.5,2.5,2.5,4.5,Sonora
1547_COVID+Sonora,1.0,2.0,2.0,1.0,8.5,0.0,0.16675646316711965,0,0,7,10,2.5,2.5,4.5,4.75,Sonora
1548_COVID+Sonora,1.0,2.0,2.0,1.0,8.0,0.13513873852271524,0.18116779134002237,0,0,5,8,2.5,2.5,4.5,4.75,Sonora
1549_COVID+Sonora,1.0,1.0,2.0,2.0,10.0,0.13513873852271524,0.14477278380879371,0,0,5,14,2.5,2.5,2.5,4.5,Sonora
154_COVID+Baja+California+Sur,3.0,2.0,2.0,3.0,11.5,0.09868862321733927,0.14477278380879371,0,0,4,16,2.5,7.5,5.5,5.25,Baja_California_Sur
1550_COVID+Sonora,1.0,1.0,1.0,2.0,8.5,0.09868862321733927,0.0,2,0,5,3,7.0,7.0,7.0,7.0,Sonora
1551_COVID+Sonora,1.0,2.0,2.0,2.0,8.0,0.13513873852271524,0.08860708923341547,0,0,9,17,2.5,2.5,4.5,4.75,Sonora
1552_COVID+Sonora,1.0,2.0,2.0,2.0,10.0,0.0,0.14477278380879371,0,0,2,12,2.5,2.5,4.5,4.75,Sonora
1553_COVID+Sonora,1.0,2.0,2.0,2.0,9.0,0.2589266408315724,0.0,5,0,10,11,7.0,7.0,12.6,13.3,Sonora
1554_COVID+Sonora,1.0,1.0,1.0,2.0,8.0,0.09868862321733927,0.0,1,0,4,9,7.0,7.0,7.0,7.0,Sonora
1555_COVID+Tabasco,4.0,4.0,4.0,3.0,13.0,0.4597286529237417,0.08860708923341547,0,0,12,21,2.5,10.0,10.0,10.0,Tabasco
1556_COVID+Tabasco,4.0,3.0,3.0,2.0,12.0,0.2543187002245267,0.08860708923341547,38,0,5,9,7.0,28.0,22.400000000000002,21.700000000000003,Tabasco
1557_COVID+Tabasco,4.0,3.0,4.0,4.0,10.0,0.23892144059970616,0.09531510295749379,0,0,5,17,2.5,10.0,8.0,9.75,Tabasco
1558_COVID+Tabasco,4.0,4.0,3.0,3.0,10.0,0.3313011092186867,0.09531510295749379,0,0,8,16,2.5,10.0,10.0,8.0,Tabasco
1559_COVID+Tabasco,4.0,4.0,4.0,3.0,11.0,0.35874398724297935,0.08860708923341547,0,0,7,20,2.5,10.0,10.0,10.0,Tabasco
155_COVID+Baja+California+Sur,3.0,3.0,4.0,4.0,8.0,0.13513873852271524,0.10697203027950959,2,0,7,13,7.0,21.0,21.000000000000004,26.6,Baja_California_Sur
1560_COVID+Tabasco,4.0,3.0,2.0,2.0,13.0,0.3387387870111131,0.12056888333170633,0,0,5,15,2.5,10.0,8.0,5.750000000000001,Tabasco
1561_COVID+Tabasco,4.0,4.0,3.0,3.0,12.0,0.4528984130006689,0.10697203027950959,0,0,9,20,2.5,10.0,10.0,8.0,Tabasco
1562_COVID+Tabasco,4.0,4.0,4.0,4.0,8.0,0.23382736174005453,0.09531510295749379,0,0,5,15,2.5,10.0,10.0,10.0,Tabasco
1563_COVID+Tabasco,4.0,3.0,3.0,2.0,10.0,0.23382736174005453,0.08860708923341547,5,0,6,12,7.0,28.0,22.400000000000002,21.700000000000003,Tabasco
1564_COVID+Tabasco,3.0,2.0,3.0,2.0,13.0,0.09981734641140694,0.2512905627600221,0,0,4,10,2.5,7.5,5.5,7.250000000000001,Tabasco
1565_COVID+Tabasco,3.0,2.0,2.0,3.0,13.0,0.2543187002245267,0.0,3,0,0,14,7.0,21.0,15.400000000000002,14.700000000000001,Tabasco
1566_COVID+Tabasco,3.0,3.0,3.0,3.0,12.0,0.13513873852271524,0.10697203027950959,0,0,12,16,2.5,7.5,7.500000000000001,7.500000000000001,Tabasco
1567_COVID+Tabasco,3.0,2.0,2.0,2.0,8.0,0.13513873852271524,0.16675646316711965,0,0,1,6,2.5,7.5,5.5,5.25,Tabasco
1568_COVID+Tabasco,3.0,3.0,2.0,4.0,13.0,0.2543187002245267,0.10114356661850168,19,0,7,17,7.0,21.0,21.000000000000004,15.400000000000002,Tabasco
1569_COVID+Tabasco,3.0,3.0,3.0,3.0,17.0,0.13513873852271524,0.10697203027950959,0,0,5,15,2.5,7.5,7.500000000000001,7.500000000000001,Tabasco
156_COVID+Baja+California+Sur,3.0,2.0,3.0,3.0,11.5,0.2800171960495448,0.14467185581069927,0,0,8,26,2.5,7.5,5.5,7.250000000000001,Baja_California_Sur
1570_COVID+Tabasco,3.0,3.0,2.0,1.0,11.0,0.13513873852271524,0.08860708923341547,4,0,5,13,7.0,21.0,21.000000000000004,15.400000000000002,Tabasco
