fileExtracted,Color0,Color2,Color4,Color8,relevante,topic_covid,topic_econ,delta,omicron,alza_casos,baja_casos,R0,R0_2,R0_4,R0_8,lugar
1000_COVID+Morelos,2.0,2.0,1.0,1.0,8.0,0.04618983430949029,0.1569204914972993,0,0,8,10,2.5,5.0,5.0,3.0000000000000004,Morelos
1001_COVID+Morelos,2.0,2.0,2.0,3.0,8.0,0.13513873852271524,0.10697203027950959,0,0,8,8,2.5,5.0,5.0,5.0,Morelos
1002_COVID+Morelos,2.0,2.0,2.0,1.0,13.5,0.11804240406409491,0.18721992640691212,0,0,2,7,2.5,5.0,5.0,5.0,Morelos
1003_COVID+Morelos,2.0,2.0,2.0,1.0,12.0,0.09981734641140694,0.14477278380879371,0,0,4,3,2.5,5.0,5.0,5.0,Morelos
1004_COVID+Morelos,2.0,2.0,2.0,2.0,9.0,0.13513873852271524,0.08860708923341547,3,0,5,9,7.0,14.0,14.0,14.0,Morelos
1005_COVID+Morelos,2.0,1.0,1.0,1.0,11.0,0.2750916549917075,0.08860708923341547,0,0,8,17,2.5,5.0,3.0000000000000004,2.75,Morelos
1006_COVID+Morelos,2.0,2.0,2.0,2.0,6.0,0.09868862321733927,0.09531510295749379,0,0,5,13,2.5,5.0,5.0,5.0,Morelos
1007_COVID+Morelos,1.0,1.0,1.0,1.0,10.0,0.13513873852271524,0.08860708923341547,0,0,8,11,2.5,2.5,2.5,2.5,Morelos
1008_COVID+Morelos,1.0,1.0,1.0,2.0,8.0,0.13513873852271524,0.08860708923341547,10,0,7,9,7.0,7.0,7.0,7.0,Morelos
1009_COVID+Morelos,1.0,1.0,1.0,2.0,8.0,0.0,0.2400878867662875,0,0,8,3,2.5,2.5,2.5,2.5,Morelos
100_COVID+Baja+California,2.0,2.0,2.0,2.0,14.0,0.09868862321733927,0.16675646316711965,1,0,3,15,7.0,14.0,14.0,14.0,Baja_California
1010_COVID+Morelos,1.0,1.0,2.0,3.0,9.0,0.2750916549917075,0.10697203027950959,8,0,9,12,7.0,7.0,7.0,12.6,Morelos
1011_COVID+Morelos,1.0,1.0,1.0,1.0,6.0,0.0,0.19557911951292506,0,2,9,10,10.0,10.0,10.0,10.0,Morelos
1012_COVID+Morelos,1.0,1.0,1.0,2.0,7.0,0.2750916549917075,0.0,1,0,4,9,7.0,7.0,7.0,7.0,Morelos
1013_COVID+Morelos,1.0,1.0,1.0,1.0,11.0,0.13513873852271524,0.09196109609545464,0,0,4,8,2.5,2.5,2.5,2.5,Morelos
1014_COVID+Morelos,1.0,1.0,1.0,2.0,12.0,0.2543187002245267,0.08860708923341547,50,0,6,13,7.0,7.0,7.0,7.0,Morelos
1015_COVID+Morelos,1.0,1.0,1.0,1.0,8.0,0.09868862321733927,0.2400878867662875,1,0,10,9,7.0,7.0,7.0,7.0,Morelos
1016_COVID+Morelos,1.0,2.0,2.0,3.0,11.0,0.19648021552363454,0.08860708923341547,10,0,12,12,7.0,7.0,12.6,13.3,Morelos
1017_COVID+Morelos,1.0,1.0,1.0,2.0,10.0,0.13513873852271524,0.08860708923341547,0,0,2,11,2.5,2.5,2.5,2.5,Morelos
1018_COVID+Morelos,1.0,1.0,1.0,2.0,6.0,0.13513873852271524,0.08860708923341547,3,1,7,13,10.0,10.0,10.0,10.0,Morelos
1019_COVID+Morelos,1.0,2.0,2.0,3.0,8.0,0.13513873852271524,0.08860708923341547,8,0,6,12,7.0,7.0,12.6,13.3,Morelos
101_COVID+Baja+California,2.0,2.0,3.0,3.0,11.0,0.23382736174005453,0.18392219219090927,1,0,16,27,7.0,14.0,14.0,19.6,Baja_California
1020_COVID+Nayarit,4.0,4.0,4.0,4.0,7.0,0.13513873852271524,0.19557911951292506,0,0,6,8,2.5,10.0,10.0,10.0,Nayarit
1021_COVID+Nayarit,4.0,4.0,3.0,3.0,9.0,0.3262070303590351,0.16675646316711965,0,0,2,14,2.5,10.0,10.0,8.0,Nayarit
1022_COVID+Nayarit,4.0,4.0,4.0,4.0,6.0,0.13513873852271524,0.10697203027950959,0,0,4,13,2.5,10.0,10.0,10.0,Nayarit
1023_COVID+Nayarit,4.0,4.0,4.0,3.0,7.0,0.3262070303590351,0.10697203027950959,0,0,8,14,2.5,10.0,10.0,10.0,Nayarit
1024_COVID+Nayarit,4.0,4.0,4.0,3.0,10.0,0.24757580461771433,0.12056888333170633,0,0,10,21,2.5,10.0,10.0,10.0,Nayarit
1025_COVID+Nayarit,4.0,3.0,2.0,1.0,11.5,0.13513873852271524,0.1985935578362536,0,0,6,17,2.5,10.0,8.0,5.750000000000001,Nayarit
1026_COVID+Nayarit,4.0,4.0,3.0,3.0,12.0,0.4775629802860377,0.12056888333170633,0,0,11,16,2.5,10.0,10.0,8.0,Nayarit
1027_COVID+Nayarit,4.0,3.0,3.0,3.0,9.0,0.33995547323669495,0.08860708923341547,0,0,3,8,2.5,10.0,8.0,7.750000000000002,Nayarit
1028_COVID+Nayarit,4.0,4.0,4.0,4.0,8.0,0.10893429245957537,0.09861283717349666,1,0,7,11,7.0,28.0,28.0,28.0,Nayarit
1029_COVID+Nayarit,4.0,4.0,4.0,4.0,7.0,0.13513873852271524,0.10191057138949952,0,0,9,20,2.5,10.0,10.0,10.0,Nayarit
102_COVID+Baja+California,2.0,2.0,2.0,3.0,8.0,0.13513873852271524,0.10191057138949952,38,0,8,16,7.0,14.0,14.0,14.0,Baja_California
1030_COVID+Nayarit,4.0,4.0,4.0,4.0,7.5,0.13513873852271524,0.10697203027950959,1,0,2,10,7.0,28.0,28.0,28.0,Nayarit
1031_COVID+Nayarit,4.0,4.0,4.0,3.0,9.0,0.3313011092186867,0.08860708923341547,0,0,5,12,2.5,10.0,10.0,10.0,Nayarit
1032_COVID+Nayarit,3.0,3.0,2.0,3.0,11.0,0.23382736174005453,0.08860708923341547,0,0,8,16,2.5,7.5,7.500000000000001,5.5,Nayarit
1033_COVID+Nayarit,3.0,3.0,3.0,3.0,9.0,0.11691368087002726,0.10697203027950959,2,0,2,10,7.0,21.0,21.000000000000004,21.000000000000004,Nayarit
1034_COVID+Nayarit,3.0,3.0,3.0,4.0,8.0,0.13513873852271524,0.19557911951292506,0,0,6,18,2.5,7.5,7.500000000000001,7.500000000000001,Nayarit
1035_COVID+Nayarit,3.0,2.0,2.0,1.0,12.0,0.0,0.10697203027950959,0,0,1,7,2.5,7.5,5.5,5.25,Nayarit
1036_COVID+Nayarit,3.0,3.0,4.0,2.0,7.0,0.13513873852271524,0.08860708923341547,0,0,7,16,2.5,7.5,7.500000000000001,9.5,Nayarit
1037_COVID+Nayarit,3.0,2.0,2.0,3.0,9.0,0.13513873852271524,0.16675646316711965,0,0,6,12,2.5,7.5,5.5,5.25,Nayarit
1038_COVID+Nayarit,3.0,3.0,3.0,3.0,8.0,0.13513873852271524,0.19557911951292506,0,0,8,14,2.5,7.5,7.500000000000001,7.500000000000001,Nayarit
1039_COVID+Nayarit,3.0,3.0,3.0,3.0,11.0,0.2589266408315724,0.14477278380879371,0,0,10,14,2.5,7.5,7.500000000000001,7.500000000000001,Nayarit
103_COVID+Baja+California,2.0,3.0,3.0,4.0,13.0,0.2825642354793706,0.14477278380879371,1,0,17,28,7.0,14.0,19.6,20.300000000000004,Baja_California
1040_COVID+Nayarit,3.0,2.0,2.0,1.0,10.0,0.23382736174005453,0.08860708923341547,5,0,5,14,7.0,21.0,15.400000000000002,14.700000000000001,Nayarit
1041_COVID+Nayarit,3.0,3.0,3.0,2.0,8.0,0.23067288444087516,0.09162152755674402,0,0,4,12,2.5,7.5,7.500000000000001,7.500000000000001,Nayarit
1042_COVID+Nayarit,3.0,2.0,2.0,3.0,5.0,0.09868862321733927,0.12056888333170633,0,0,6,8,2.5,7.5,5.5,5.25,Nayarit
1043_COVID+Nayarit,3.0,3.0,3.0,2.0,8.0,0.23608480812818983,0.08860708923341547,0,0,4,14,2.5,7.5,7.500000000000001,7.500000000000001,Nayarit
1044_COVID+Nayarit,3.0,3.0,3.0,4.0,12.0,0.13513873852271524,0.13267083357025003,0,0,10,17,2.5,7.5,7.500000000000001,7.500000000000001,Nayarit
1045_COVID+Nayarit,3.0,3.0,3.0,2.0,9.0,0.23382736174005453,0.08860708923341547,2,0,8,12,7.0,21.0,21.000000000000004,21.000000000000004,Nayarit
1046_COVID+Nayarit,3.0,4.0,3.0,2.0,12.0,0.2275184071416958,0.14477278380879371,1,0,14,11,7.0,21.0,26.6,21.700000000000003,Nayarit
1047_COVID+Nayarit,3.0,3.0,3.0,3.0,12.0,0.13513873852271524,0.26438330214329875,1,0,10,20,7.0,21.0,21.000000000000004,21.000000000000004,Nayarit
1048_COVID+Nayarit,3.0,2.0,2.0,1.0,8.5,0.04934431160866964,0.14477278380879371,0,0,4,8,2.5,7.5,5.5,5.25,Nayarit
1049_COVID+Nayarit,2.0,1.0,1.0,1.0,6.0,0.04934431160866964,0.10444130083450456,0,0,3,13,2.5,5.0,3.0000000000000004,2.75,Nayarit
104_COVID+Baja+California,2.0,2.0,2.0,3.0,11.0,0.23382736174005453,0.10697203027950959,8,0,13,23,7.0,14.0,14.0,14.0,Baja_California
1050_COVID+Nayarit,2.0,2.0,2.0,1.0,9.5,0.1399529164689923,0.08860708923341547,1,0,3,9,7.0,14.0,14.0,14.0,Nayarit
1051_COVID+Nayarit,2.0,1.0,1.0,1.0,9.0,0.09868862321733927,0.14477278380879371,0,0,2,11,2.5,5.0,3.0000000000000004,2.75,Nayarit
1052_COVID+Nayarit,2.0,1.0,1.0,3.0,8.0,0.13513873852271524,0.08860708923341547,10,0,4,12,7.0,14.0,8.400000000000002,7.700000000000001,Nayarit
1053_COVID+Nayarit,2.0,3.0,3.0,3.0,8.0,0.09237966861898057,0.10444130083450456,1,0,6,10,7.0,14.0,19.6,20.300000000000004,Nayarit
1054_COVID+Nayarit,2.0,2.0,1.0,1.0,8.0,0.23382736174005453,0.24668335519829324,4,0,3,11,7.0,14.0,14.0,8.400000000000002,Nayarit
1055_COVID+Nayarit,2.0,1.0,1.0,1.0,6.0,0.09868862321733927,0.08860708923341547,1,0,3,12,7.0,14.0,8.400000000000002,7.700000000000001,Nayarit
1056_COVID+Nayarit,2.0,2.0,1.0,1.0,8.0,0.09868862321733927,0.08860708923341547,3,0,2,4,7.0,14.0,14.0,8.400000000000002,Nayarit
1057_COVID+Nayarit,2.0,1.0,2.0,1.0,11.0,0.13513873852271524,0.14477278380879371,0,0,5,13,2.5,5.0,3.0000000000000004,4.75,Nayarit
1058_COVID+Nayarit,2.0,2.0,3.0,3.0,6.0,0.11691368087002726,0.09525883031145749,0,0,4,11,2.5,5.0,5.0,7.000000000000001,Nayarit
1059_COVID+Nayarit,2.0,2.0,3.0,3.0,6.0,0.09868862321733927,0.15576462348795667,0,0,4,10,2.5,5.0,5.0,7.000000000000001,Nayarit
105_COVID+Baja+California,2.0,1.0,1.0,2.0,12.0,0.13513873852271524,0.08860708923341547,0,0,3,10,2.5,5.0,3.0000000000000004,2.75,Baja_California
1060_COVID+Nayarit,2.0,1.0,2.0,1.0,8.0,0.09868862321733927,0.08860708923341547,1,0,4,11,7.0,14.0,8.400000000000002,13.3,Nayarit
1061_COVID+Nayarit,2.0,2.0,2.0,1.0,6.5,0.13513873852271524,0.38341099147698987,0,0,5,8,2.5,5.0,5.0,5.0,Nayarit
1062_COVID+Nayarit,1.0,1.0,3.0,3.0,6.0,0.09868862321733927,0.09463596588007256,14,0,8,14,7.0,7.0,7.0,18.200000000000003,Nayarit
1063_COVID+Nayarit,1.0,1.0,1.0,3.0,5.0,0.09868862321733927,0.2333798730422092,1,0,2,7,7.0,7.0,7.0,7.0,Nayarit
1064_COVID+Nayarit,1.0,1.0,1.0,1.0,9.0,0.09868862321733927,0.10191057138949952,0,0,12,8,2.5,2.5,2.5,2.5,Nayarit
1065_COVID+Nayarit,1.0,1.0,1.0,1.0,8.0,0.13513873852271524,0.19051766062291497,1,0,15,11,7.0,7.0,7.0,7.0,Nayarit
1066_COVID+Nayarit,1.0,1.0,1.0,3.0,6.5,0.19106829183631985,0.08860708923341547,2,0,8,13,7.0,7.0,7.0,7.0,Nayarit
1067_COVID+Nayarit,1.0,1.0,1.0,4.0,5.0,0.09868862321733927,0.18392219219090927,19,0,5,9,7.0,7.0,7.0,7.0,Nayarit
1068_COVID+Nayarit,1.0,1.0,1.0,1.0,5.0,0.20856895775419665,0.08860708923341547,0,0,3,10,2.5,2.5,2.5,2.5,Nayarit
1069_COVID+Nayarit,1.0,2.0,1.0,1.0,11.0,0.09868862321733927,0.15576462348795667,0,0,7,11,2.5,2.5,4.5,2.75,Nayarit
106_COVID+Baja+California,2.0,2.0,2.0,2.0,12.5,0.23382736174005453,0.13267083357025003,6,0,13,21,7.0,14.0,14.0,14.0,Baja_California
1070_COVID+Nayarit,1.0,1.0,2.0,2.0,11.0,0.10762288814872205,0.08860708923341547,0,0,6,15,2.5,2.5,2.5,4.5,Nayarit
1071_COVID+Nayarit,1.0,1.0,1.0,1.0,7.0,0.09868862321733927,0.08860708923341547,2,3,10,15,10.0,10.0,10.0,10.0,Nayarit
1072_COVID+Nayarit,1.0,2.0,1.0,1.0,8.0,0.11691368087002726,0.17863706189501732,0,0,5,14,2.5,2.5,4.5,2.75,Nayarit
1073_COVID+Nayarit,1.0,1.0,1.0,2.0,6.5,0.13513873852271524,0.15576462348795667,4,0,16,13,7.0,7.0,7.0,7.0,Nayarit
1074_COVID+Nayarit,1.0,2.0,1.0,1.0,9.0,0.13513873852271524,0.08860708923341547,1,0,5,9,7.0,7.0,12.6,7.700000000000001,Nayarit
1075_COVID+Nayarit,1.0,3.0,4.0,2.0,11.0,0.23382736174005453,0.18324305511348804,4,0,13,13,7.0,7.0,18.200000000000003,25.2,Nayarit
1076_COVID+Nayarit,1.0,1.0,3.0,3.0,8.0,0.0,0.2333798730422092,3,0,4,7,7.0,7.0,7.0,18.200000000000003,Nayarit
1077_COVID+Nayarit,1.0,1.0,1.0,3.0,3.0,0.12138081333571865,0.2553635524005351,4,0,6,10,7.0,7.0,7.0,7.0,Nayarit
1078_COVID+Nayarit,1.0,1.0,1.0,4.0,5.0,0.10762288814872205,0.16675646316711965,4,0,5,5,7.0,7.0,7.0,7.0,Nayarit
1079_COVID+Nuevo+leon,4.0,4.0,4.0,3.0,6.0,0.13513873852271524,0.09531510295749379,2,0,5,14,7.0,28.0,28.0,28.0,Nuevo_leon
107_COVID+Baja+California,2.0,2.0,2.0,2.0,15.0,0.13513873852271524,0.14477278380879371,1,0,10,15,7.0,14.0,14.0,14.0,Baja_California
1080_COVID+Nuevo+leon,4.0,3.0,3.0,3.0,6.5,0.13513873852271524,0.08860708923341547,0,0,2,7,2.5,10.0,8.0,7.750000000000002,Nuevo_leon
1081_COVID+Nuevo+leon,4.0,3.0,3.0,2.0,10.0,0.13513873852271524,0.09531510295749379,0,0,4,15,2.5,10.0,8.0,7.750000000000002,Nuevo_leon
1082_COVID+Nuevo+leon,4.0,4.0,4.0,3.0,8.0,0.13513873852271524,0.09531510295749379,0,0,9,9,2.5,10.0,10.0,10.0,Nuevo_leon
1083_COVID+Nuevo+leon,4.0,3.0,3.0,3.0,9.0,0.2275184071416958,0.08860708923341547,0,0,8,17,2.5,10.0,8.0,7.750000000000002,Nuevo_leon
1084_COVID+Nuevo+leon,4.0,4.0,3.0,3.0,8.5,0.2589266408315724,0.09196109609545464,0,0,9,14,2.5,10.0,10.0,8.0,Nuevo_leon
1085_COVID+Nuevo+leon,4.0,4.0,4.0,3.0,9.0,0.23608480812818983,0.10697203027950959,0,0,13,15,2.5,10.0,10.0,10.0,Nuevo_leon
1086_COVID+Nuevo+leon,4.0,3.0,4.0,4.0,7.0,0.13513873852271524,0.19051766062291497,0,0,6,10,2.5,10.0,8.0,9.75,Nuevo_leon
1087_COVID+Nuevo+leon,4.0,4.0,3.0,2.0,9.0,0.2427616266714373,0.08046110995238946,8,0,13,14,7.0,28.0,28.0,22.400000000000002,Nuevo_leon
1088_COVID+Nuevo+leon,4.0,3.0,3.0,2.0,11.0,0.2275184071416958,0.0,0,0,3,17,2.5,10.0,8.0,7.750000000000002,Nuevo_leon
1089_COVID+Nuevo+leon,4.0,4.0,3.0,2.0,10.0,0.13513873852271524,0.12056888333170633,0,0,5,7,2.5,10.0,10.0,8.0,Nuevo_leon
108_COVID+Baja+California,2.0,2.0,2.0,3.0,11.0,0.23382736174005453,0.08860708923341547,8,0,11,21,7.0,14.0,14.0,14.0,Baja_California
1090_COVID+Nuevo+leon,4.0,3.0,2.0,1.0,9.5,0.17185384813845594,0.08453409959290246,38,0,4,11,7.0,28.0,22.400000000000002,16.1,Nuevo_leon
1091_COVID+Nuevo+leon,3.0,4.0,4.0,4.0,9.0,0.13513873852271524,0.10191057138949952,0,0,3,13,2.5,7.5,9.5,9.75,Nuevo_leon
1092_COVID+Nuevo+leon,3.0,4.0,4.0,3.0,10.5,0.13513873852271524,0.08860708923341547,0,0,6,12,2.5,7.5,9.5,9.75,Nuevo_leon
1093_COVID+Nuevo+leon,3.0,4.0,4.0,3.0,11.0,0.10570279511285649,0.08860708923341547,0,0,6,12,2.5,7.5,9.5,9.75,Nuevo_leon
1094_COVID+Nuevo+leon,3.0,4.0,4.0,2.0,11.5,0.13513873852271524,0.08860708923341547,13,0,16,17,7.0,21.0,26.6,27.300000000000004,Nuevo_leon
1095_COVID+Nuevo+leon,3.0,3.0,4.0,3.0,12.0,0.13513873852271524,0.08860708923341547,1,0,8,17,7.0,21.0,21.000000000000004,26.6,Nuevo_leon
1096_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,8.0,0.23942321739981356,0.08860708923341547,0,0,7,14,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1097_COVID+Nuevo+leon,3.0,2.0,2.0,1.0,11.0,0.23382736174005453,0.08046110995238946,6,0,6,10,7.0,21.0,15.400000000000002,14.700000000000001,Nuevo_leon
1098_COVID+Nuevo+leon,3.0,3.0,3.0,4.0,10.0,0.13513873852271524,0.14477278380879371,0,0,13,14,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1099_COVID+Nuevo+leon,3.0,2.0,2.0,2.0,10.0,0.09237966861898057,0.08860708923341547,0,0,3,12,2.5,7.5,5.5,5.25,Nuevo_leon
109_COVID+Baja+California,2.0,2.0,3.0,3.0,12.0,0.13513873852271524,0.08860708923341547,4,0,2,11,7.0,14.0,14.0,19.6,Baja_California
10_COVID+Aguascalientes,3.0,3.0,3.0,2.0,7.0,0.0,0.19051766062291497,0,0,8,7,2.5,7.5,7.500000000000001,7.500000000000001,Aguascalientes
1100_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,9.0,0.23382736174005453,0.08860708923341547,0,0,19,16,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1101_COVID+Nuevo+leon,3.0,3.0,2.0,1.0,11.0,0.16997773661834747,0.08860708923341547,0,0,2,17,2.5,7.5,7.500000000000001,5.5,Nuevo_leon
1102_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,10.0,0.23067288444087516,0.08860708923341547,0,0,5,10,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1103_COVID+Nuevo+leon,3.0,4.0,4.0,3.0,5.5,0.13513873852271524,0.08860708923341547,0,0,15,13,2.5,7.5,9.5,9.75,Nuevo_leon
1104_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,8.5,0.24070158317888443,0.10697203027950959,0,0,6,19,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1105_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,9.0,0.13513873852271524,0.11377045680560796,0,1,11,18,10.0,30.0,30.000000000000004,30.000000000000004,Nuevo_leon
1106_COVID+Nuevo+leon,3.0,3.0,3.0,4.0,10.0,0.13513873852271524,0.08860708923341547,0,0,7,20,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1107_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,7.0,0.13513873852271524,0.0,0,0,2,13,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1108_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,9.0,0.2104220726830755,0.09162152755674402,1,0,5,8,7.0,21.0,21.000000000000004,21.000000000000004,Nuevo_leon
1109_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,10.0,0.13513873852271524,0.08046110995238946,0,0,6,13,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
110_COVID+Baja+California,2.0,3.0,3.0,4.0,11.0,0.11691368087002726,0.15576462348795667,1,0,18,30,7.0,14.0,19.6,20.300000000000004,Baja_California
1110_COVID+Nuevo+leon,3.0,3.0,4.0,3.0,11.0,0.13513873852271524,0.08860708923341547,0,0,10,14,2.5,7.5,7.500000000000001,9.5,Nuevo_leon
1111_COVID+Nuevo+leon,3.0,3.0,3.0,4.0,10.0,0.23829449420574592,0.08860708923341547,0,0,7,16,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1112_COVID+Nuevo+leon,3.0,3.0,3.0,3.0,8.0,0.13513873852271524,0.08860708923341547,0,0,9,12,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1113_COVID+Nuevo+leon,3.0,3.0,3.0,4.0,10.0,0.2275184071416958,0.09531510295749379,0,0,7,11,2.5,7.5,7.500000000000001,7.500000000000001,Nuevo_leon
1114_COVID+Nuevo+leon,2.0,3.0,4.0,3.0,8.0,0.13513873852271524,0.08860708923341547,6,0,12,16,7.0,14.0,19.6,25.900000000000002,Nuevo_leon
1115_COVID+Nuevo+leon,2.0,2.0,1.0,1.0,9.0,0.13513873852271524,0.08860708923341547,3,0,4,3,7.0,14.0,14.0,8.400000000000002,Nuevo_leon
1116_COVID+Nuevo+leon,2.0,1.0,2.0,2.0,7.5,0.13513873852271524,0.08860708923341547,0,0,6,9,2.5,5.0,3.0000000000000004,4.75,Nuevo_leon
1117_COVID+Nuevo+leon,2.0,2.0,2.0,3.0,10.0,0.09868862321733927,0.08860708923341547,3,0,3,9,7.0,14.0,14.0,14.0,Nuevo_leon
1118_COVID+Nuevo+leon,2.0,2.0,2.0,4.0,13.5,0.23382736174005453,0.08860708923341547,13,0,5,19,7.0,14.0,14.0,14.0,Nuevo_leon
1119_COVID+Nuevo+leon,2.0,1.0,2.0,2.0,9.0,0.23382736174005453,0.08860708923341547,0,0,2,12,2.5,5.0,3.0000000000000004,4.75,Nuevo_leon
111_COVID+Baja+California,2.0,2.0,2.0,2.0,15.0,0.2427616266714373,0.1972256743469933,1,0,8,21,7.0,14.0,14.0,14.0,Baja_California
1120_COVID+Nuevo+leon,2.0,1.0,2.0,2.0,9.5,0.04934431160866964,0.08860708923341547,0,0,6,8,2.5,5.0,3.0000000000000004,4.75,Nuevo_leon
1121_COVID+Nuevo+leon,2.0,1.0,1.0,1.0,8.0,0.11691368087002726,0.08860708923341547,1,0,2,10,7.0,14.0,8.400000000000002,7.700000000000001,Nuevo_leon
1122_COVID+Nuevo+leon,2.0,1.0,1.0,1.0,10.0,0.2427616266714373,0.10191057138949952,6,0,3,12,7.0,14.0,8.400000000000002,7.700000000000001,Nuevo_leon
1123_COVID+Nuevo+leon,2.0,2.0,1.0,1.0,8.0,0.10315575568303066,0.08860708923341547,1,0,3,11,7.0,14.0,14.0,8.400000000000002,Nuevo_leon
1124_COVID+Nuevo+leon,2.0,2.0,3.0,4.0,8.5,0.13513873852271524,0.08860708923341547,31,0,10,13,7.0,14.0,14.0,19.6,Nuevo_leon
1125_COVID+Nuevo+leon,2.0,2.0,3.0,4.0,13.0,0.13513873852271524,0.08860708923341547,11,0,14,16,7.0,14.0,14.0,19.6,Nuevo_leon
1126_COVID+Nuevo+leon,2.0,2.0,1.0,1.0,10.0,0.13513873852271524,0.08860708923341547,0,0,4,11,2.5,5.0,5.0,3.0000000000000004,Nuevo_leon
1127_COVID+Nuevo+leon,2.0,1.0,2.0,2.0,8.0,0.13513873852271524,0.0,0,0,3,14,2.5,5.0,3.0000000000000004,4.75,Nuevo_leon
1128_COVID+Nuevo+leon,1.0,1.0,1.0,3.0,10.0,0.24757580461771433,0.08046110995238946,6,0,12,17,7.0,7.0,7.0,7.0,Nuevo_leon
1129_COVID+Nuevo+leon,1.0,1.0,1.0,1.0,8.0,0.18895018259707627,0.0,6,0,2,9,7.0,7.0,7.0,7.0,Nuevo_leon
112_COVID+Baja+California,2.0,3.0,3.0,3.0,11.5,0.1707251249443883,0.09778955975646253,3,0,5,14,7.0,14.0,19.6,20.300000000000004,Baja_California
1130_COVID+Nuevo+leon,1.0,1.0,1.0,3.0,8.5,0.21814934351719237,0.0,1,0,8,14,7.0,7.0,7.0,7.0,Nuevo_leon
1131_COVID+Nuevo+leon,1.0,2.0,1.0,2.0,12.0,0.09868862321733927,0.08860708923341547,0,0,6,8,2.5,2.5,4.5,2.75,Nuevo_leon
1132_COVID+Nuevo+leon,1.0,1.0,1.0,3.0,8.0,0.2427616266714373,0.08860708923341547,2,0,6,13,7.0,7.0,7.0,7.0,Nuevo_leon
1133_COVID+Nuevo+leon,1.0,2.0,1.0,2.0,9.0,0.13513873852271524,0.08860708923341547,0,0,9,7,2.5,2.5,4.5,2.75,Nuevo_leon
1135_COVID+Nuevo+leon,1.0,2.0,2.0,2.0,10.0,0.0,0.08860708923341547,0,0,6,11,2.5,2.5,4.5,4.75,Nuevo_leon
1136_COVID+Nuevo+leon,1.0,1.0,1.0,1.0,10.0,0.13513873852271524,0.08860708923341547,5,0,3,7,7.0,7.0,7.0,7.0,Nuevo_leon
1137_COVID+Nuevo+leon,1.0,1.0,3.0,2.0,11.0,0.24084153363557173,0.08860708923341547,2,0,17,19,7.0,7.0,7.0,18.200000000000003,Nuevo_leon
1138_COVID+Nuevo+leon,1.0,1.0,1.0,1.0,6.0,0.2427616266714373,0.0,5,0,7,13,7.0,7.0,7.0,7.0,Nuevo_leon
1139_COVID+Oaxaca,4.0,3.0,3.0,3.0,7.0,0.13513873852271524,0.1166899365211046,0,0,10,17,2.5,10.0,8.0,7.750000000000002,Oaxaca
113_COVID+Baja+California,2.0,2.0,2.0,2.0,14.0,0.19106829183631985,0.19557911951292506,1,0,7,18,7.0,14.0,14.0,14.0,Baja_California
1140_COVID+Oaxaca,4.0,4.0,4.0,4.0,7.0,0.13513873852271524,0.16736192632318003,0,0,7,11,2.5,10.0,10.0,10.0,Oaxaca
1141_COVID+Oaxaca,4.0,3.0,4.0,3.0,5.0,0.13513873852271524,0.14477278380879371,0,0,4,10,2.5,10.0,8.0,9.75,Oaxaca
1142_COVID+Oaxaca,4.0,3.0,4.0,3.0,5.0,0.13513873852271524,0.08860708923341547,0,0,3,7,2.5,10.0,8.0,9.75,Oaxaca
1143_COVID+Oaxaca,4.0,4.0,3.0,3.0,6.0,0.13513873852271524,0.10191057138949952,0,0,6,13,2.5,10.0,10.0,8.0,Oaxaca
1144_COVID+Oaxaca,3.0,3.0,3.0,2.0,12.0,0.13513873852271524,0.17863706189501732,0,0,6,12,2.5,7.5,7.500000000000001,7.500000000000001,Oaxaca
1145_COVID+Oaxaca,3.0,2.0,3.0,3.0,8.0,0.13513873852271524,0.09531510295749379,0,0,3,6,2.5,7.5,5.5,7.250000000000001,Oaxaca
1146_COVID+Oaxaca,3.0,3.0,2.0,1.0,8.0,0.13513873852271524,0.08860708923341547,1,0,10,8,7.0,21.0,21.000000000000004,15.400000000000002,Oaxaca
1147_COVID+Oaxaca,3.0,3.0,3.0,3.0,8.5,0.13513873852271524,0.08860708923341547,0,0,9,11,2.5,7.5,7.500000000000001,7.500000000000001,Oaxaca
1148_COVID+Oaxaca,3.0,3.0,3.0,3.0,7.0,0.13513873852271524,0.08860708923341547,0,0,9,9,2.5,7.5,7.500000000000001,7.500000000000001,Oaxaca
